what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1535907603055
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1535907603063
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1535907603101
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1535907603103
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1535907603260
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1535907628376
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535907628456
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535907629265
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535907632559
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535907632591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535907635130
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1535907638086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1535907639533
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535907648756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907664268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907701007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535907703895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1535907708132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907710167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907807632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535907814519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907817839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907845934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907849578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907850775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907852601
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1535907873314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535907983611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535907987922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908000123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908004006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908009369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908026573
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1535908074876
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1535908075118
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1535908075343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1535908075541
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1535908075969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1535908077023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535908080204
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535908086193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908091947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908114071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1535908134860
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535908159513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908175375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908176248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908176702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908203403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908243913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908246379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908248020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908263087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535908265821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908312860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908314124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908315179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908350362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1535908360546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908369305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908370048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908370816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908387506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908429234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908438111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908486748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908501340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908555756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908572159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1535908574986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908588720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908663846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908738977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908739211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908778221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535908778414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1535908978963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909044203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909045567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909049954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909050190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909172139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909174177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909200959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1535909220215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535909222602
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535909247362
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1535909249639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1535909261319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1535909436137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535909437964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1535909448835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535909455582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1535909460301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1535909471789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1535909538260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1535909540053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909561685
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1535909561701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1535909564062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1535909566750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1535909598698
